metric,in_sample,blocked_cv_mean,blocked_cv_sd,optimal_trees,data_source
rmse,0,0.002,0,101,mapp2
pearson,0.991,0.618,0.119,NA,mapp2
spearman,0.987,0.61,0.1,NA,mapp2
standard_dev,0,0.002,0,NA,mapp2
