feature,value
per_NS_SeC_L7_intermediate,5.740157663505252e-4
per_NS_SeC_L89_small_employers_own_account,4.8265620495930943e-4
per_level4,4.188721420351005e-4
per_hh_no_centralheat,3.5363486470795007e-4
per_hh_no_car,3.351935810784759e-4
per_age_40_49,3.3253147937852896e-4
per_NS_SeC_L141142_never_worked_unemployed,2.8734279301858895e-4
per_age_20_29,2.3390121288157333e-4
per_large_households,2.1539429199989238e-4
per_NS_SeC_L15_ft_students,2.09957997972018e-4
per_age_10_19,1.1953084414069418e-4
per_age_0_9,1.1762605271022952e-4
per_age_60_69,9.372284375236422e-5
per_age_50_59,8.974108740530003e-5
per_hh_notdeprived,7.67181934351881e-5
per_NS_SeC_L1011_lower_supervisory_technical,7.130958150881769e-5
rural_pct,7.011240164183207e-5
pop_density,6.239195763033406e-5
per_hh_owned,6.125690800948059e-5
per_female,5.30894266832102e-5
per_age_70plus,5.1562956778269864e-5
per_recent_migrant,4.6945507129498834e-5
per_age_30_39,4.0740229474857715e-5
per_nonukborn,3.829962415459888e-5
per_NS_SeC_L13_routine,3.726406637537877e-5
per_no_qualifications,3.402058192952521e-5
per_home_work,3.338052973570036e-5
per_NS_SeC_L456_lower_managerial_administrative_professional,2.9710470290737717e-5
per_NS_SeC_L12_semi_routine,2.739613997822348e-5
per_NS_SeC_L123_higher_managerial_administrative_professional,1.9987256455956098e-5
