off_id,count2,tstick1,sstick1,tstick2,sstick2,tripfreq,avedur,centdist,subcendist,eat,recrea,cult,finan,dailyser,transport,work,reside,poi_entro,metrosta4,busstop4,busroute,roadden3,junden3,oldage,highage,midage,adult,youth,juveni,female,houseprice,pop,popden
4275,121,0.148333144,0.081132387,0.40937089,4250.76428,6.884297521,0.288846333,4.379084383,7.503615452,69,38,22,5,103,30,79,2,2.514115,2,3,12,11.6862,100,0.072149001,0.117340997,0.228820994,0.40724799,0.149407998,0.020711901,0.501112998,61335,32225,128899
4276,452,0.172832856,0.080418075,0.476673669,4213.341468,8.267699115,0.40917124,4.395488171,7.032193344,55,780,49,8,130,75,65,1,1.683642,2,4,42,27.0248,296,0.068417497,0.113466002,0.221882999,0.415093988,0.158820003,0.020891501,0.502686024,56666,31336,125345
4277,412,0.162974891,0.062629823,0.445923054,3274.937724,9.123786408,0.409492133,4.140447143,6.565001265,60,124,24,7,71,32,39,4,2.523267,2,4,18,14.41,116,0.067687199,0.111023001,0.222913995,0.419171989,0.160122007,0.0203711,0.508760989,61081,31077,124307
4278,266,0.174897346,0.098464117,0.484374831,5176.02777,8.639097744,0.360283812,3.932720283,6.103010732,95,57,23,5,125,39,26,1,2.429124,1,6,28,16.5748,144,0.069067098,0.109705001,0.227500007,0.417831987,0.159641996,0.0202072,0.510935009,64779,28843,115370
4280,404,0.166658689,0.136539685,0.474182024,7139.310792,9.351485149,0.49556866,3.689479826,5.200166993,21,12,85,6,8,18,2,0,2.001155,1,3,29,24.9275,264,0.059315499,0.098715797,0.188566998,0.384992003,0.191156998,0.022284901,0.503679991,66074,24184,96735
4281,750,0.13061142,0.053268316,0.361128514,2793.342726,9.865333333,0.326783228,3.665412346,4.763321859,0,52,41,0,3,4,2,1,1.53274,1,3,43,21.4292,260,0.0526581,0.097305,0.180721998,0.372274011,0.199040994,0.024065301,0.497859001,63149,21808,87233
4282,1361,0.149278044,0.06407492,0.414468439,3343.608866,9.357090375,0.389262402,3.709209342,4.340130587,11,27,5,7,60,15,2,2,2.245157,2,4,29,22.303,200,0.050756399,0.109222002,0.219073996,0.379303008,0.168519005,0.023693999,0.495088995,60498,20440,81759
4283,367,0.179419054,0.071195433,0.51390932,3715.644521,9.326975477,0.468765665,3.818536398,3.935000876,33,19,21,6,61,26,32,0,2.597679,1,3,29,14.8478,176,0.049460001,0.126178995,0.271073997,0.394614995,0.136153996,0.0222742,0.483648986,57160,17122,68488
4287,349,0.16186995,0.042358254,0.44922249,2212.022197,9.438395415,0.331333709,4.782589816,2.659741606,0,2,0,0,0,0,2,0,1,0,2,6,6.935,72,0.0163715,0.110918999,0.253033012,0.427563995,0.166927993,0.029784599,0.388487011,52871,11208,44833
4301,100,0.177313315,0.087120647,0.499433821,4562.511631,8.55,0.361267472,10.71890728,5.626029518,33,8,0,0,24,1,13,0,1.909405,0,1,6,7.40748,20,0.020033,0.114921004,0.262508005,0.413783997,0.163988993,0.028625401,0.363139004,46992,6194,24777
4302,16,0.210393486,0.103842293,0.626142513,5406.415134,7.125,0.332003588,11.19008309,5.898012999,12,5,1,0,29,2,2,1,1.863697,0,2,2,4.90516,28,0.024999199,0.112575002,0.264012009,0.419077009,0.158706993,0.025272001,0.383141011,46756,7341,29366
4303,32,0.173744074,0.04427354,0.494734756,2322.550711,7.21875,0.277197804,11.6636592,6.198460014,1,0,0,0,5,1,3,1,1.971747,0,2,2,12.8401,80,0.034963001,0.119097002,0.284931004,0.40902701,0.132751003,0.022186499,0.415270001,45167,8262,33049
