fold,rmse,pearson,spearman,standard_dev
1,5.373784864317251e-4,0.5817925632098583,0.32791652858957415,5.426740814407973e-4
2,5.843791362571359e-4,0.7153054554050079,0.6262421325435024,5.878170429134001e-4
3,4.954396160320122e-4,0.6952462126563227,0.554180602006689,4.825903181862207e-4
4,4.1832180487394986e-4,0.6849479613547801,0.6067826730840429,4.2100470552906805e-4
5,5.314450808941696e-4,0.7270287750539994,0.36455716716635606,5.31069413505256e-4
