fold,rmse,pearson,spearman,standard_dev
1,4.902267228596716e-4,0.6715247992072465,0.44358274460210945,4.937072374307773e-4
2,5.644484424433237e-4,0.7233844119511784,0.5774305812661976,5.682283934634613e-4
3,4.815948354063525e-4,0.7160568456450804,0.5741007652735394,4.6904020326921943e-4
4,4.6006375768296767e-4,0.6419147530314877,0.5870609926928264,4.6268039426327983e-4
5,5.207347689933478e-4,0.7632430067194823,0.5133295519001702,5.205671965957494e-4
