metric,in_sample,blocked_cv_mean,blocked_cv_sd,optimal_trees,data_source
rmse,0,0.001,0,145,twitter
pearson,0.87,0.703,0.047,NA,twitter
spearman,0.789,0.539,0.061,NA,twitter
standard_dev,0,0.001,0,NA,twitter
