feature,value
per_age_0_9,5.639679802698083e-4
per_hh_no_centralheat,4.945142316997094e-4
per_age_40_49,4.2416052209305095e-4
per_age_0_9_lagq,3.8121865227091773e-4
per_hh_no_car_lagq,2.560883765909239e-4
per_NS_SeC_L7_intermediate,2.074196662623294e-4
per_hh_notdeprived,2.0148417704948576e-4
per_age_70plus,1.734691880384079e-4
rural_pct,1.6507691141558816e-4
pop_density,1.5756998680334426e-4
per_hh_owned,1.4193297164721033e-4
per_NS_SeC_L123_higher_managerial_administrative_professional_lagq,1.3530392609413178e-4
per_no_qualifications_lagq,1.168251739603544e-4
per_age_20_29,1.1443484097870885e-4
per_NS_SeC_L456_lower_managerial_administrative_professional,1.0892221566929507e-4
per_female_lagq,1.0878498092510695e-4
per_hh_no_car,1.0555490585609346e-4
per_age_50_59,8.983461723828717e-5
per_NS_SeC_L7_intermediate_lagq,8.979664409542403e-5
per_NS_SeC_L141142_never_worked_unemployed_lagq,8.180058350924149e-5
per_no_qualifications,8.046238998014649e-5
rural_pct_lagq,7.591493636441141e-5
per_NS_SeC_L89_small_employers_own_account_lagq,7.384517450852648e-5
per_nonukborn,7.108749890848589e-5
per_age_30_39,6.447033524499134e-5
per_hh_no_centralheat_lagq,5.9010266070827404e-5
per_NS_SeC_L141142_never_worked_unemployed,5.8664948201939376e-5
per_NS_SeC_L89_small_employers_own_account,5.676996308576429e-5
per_level4,5.499295600726107e-5
per_level4_lagq,4.869605955084835e-5
per_age_20_29_lagq,4.1652164206122204e-5
per_age_50_59_lagq,4.0724046249868645e-5
pop_density_lagq,3.2805346982610045e-5
per_NS_SeC_L1011_lower_supervisory_technical,2.9833752110293557e-5
per_NS_SeC_L123_higher_managerial_administrative_professional,2.7193497904094824e-5
per_female,2.410640179071131e-5
per_NS_SeC_L456_lower_managerial_administrative_professional_lagq,1.9074520441515205e-5
per_recent_migrant,1.7922715902717423e-5
per_age_40_49_lagq,1.5694360687727264e-5
per_age_10_19,0
