metric,in_sample,blocked_cv_mean,blocked_cv_sd,optimal_trees,data_source
rmse,0.008,0.018,0.006,221,fb_tts
pearson,0.958,0.65,0.14,NA,fb_tts
spearman,0.937,0.686,0.087,NA,fb_tts
standard_dev,0.008,0.018,0.006,NA,fb_tts
