metric,in_sample,blocked_cv_mean,blocked_cv_sd,optimal_trees,data_source
rmse,0.003,0.019,0.006,218,fb_tts
pearson,0.995,0.635,0.114,NA,fb_tts
spearman,0.99,0.661,0.056,NA,fb_tts
standard_dev,0.003,0.019,0.006,NA,fb_tts
