fold,rmse,pearson,spearman,standard_dev
1,0.016676567015371388,0.7115699700196692,0.7383673469387755,0.015656721432264032
2,0.014934229051732683,0.7141654694358872,0.7171714179933357,0.015001125482476573
3,0.02920324325869445,0.40589184228701275,0.5959033953423855,0.029360482610875312
4,0.01527871107516003,0.7523038715635378,0.7863902258422806,0.015273463064050056
5,0.01607876505137644,0.6643066483863973,0.5945223239607811,0.015535181240448094
