Covariate,N,Pearson r,Spearman rho,Distance Correlation,Linear AIC,Linear BIC,GAM AIC,GAM BIC
65-69 (%),330,0.26***,0.30***,0.31,565.98,577.38,547.52,566.9
Age 60-69 (%),330,0.25***,0.29***,0.30,568.14,579.54,550.71,570.09
70-74 (%),330,0.24***,0.28***,0.29,570.62,582.02,550.87,570.44
40-44 (%),330,-0.29***,-0.33***,0.30,560.51,571.91,554,572.75
Age 40-49 (%),330,-0.31***,-0.33***,0.30,555.49,566.89,554.02,571.5
35-39 (%),330,-0.24***,-0.30***,0.29,570.11,581.51,554.47,573.68
Age 70+ (%),330,0.22***,0.26***,0.28,572.88,584.28,555.04,574.6
75-79 (%),330,0.23***,0.26***,0.28,572.54,583.93,555.17,574.46
0-4 (%),330,-0.27***,-0.30***,0.29,564.73,576.13,555.18,574.43
60-64 (%),330,0.24***,0.28***,0.28,570.99,582.39,556.23,575.66
Age 0-9 (%),330,-0.27***,-0.30***,0.30,564.51,575.91,557.49,577.16
80-84 (%),330,0.22***,0.24***,0.26,574.15,585.54,558.42,578.07
45-49 (%),330,-0.29***,-0.28***,0.27,560.16,571.55,560.16,571.55
5-9 (%),330,-0.26***,-0.30***,0.29,566.59,577.99,561.36,582.03
Age 30-39 (%),330,-0.19***,-0.26***,0.25,577.6,589,561.7,581.72
Small employers (%),330,0.19***,0.16***,0.23,577.19,588.58,562.08,583.28
Rural (%),330,0.23***,0.20***,0.25,571.76,583.16,563.93,583.19
Non white (%),330,-0.07,-0.24***,0.18,588.19,599.58,565.01,587.39
85-89 (%),330,0.18***,0.20***,0.23,579.02,590.41,566.38,587.74
Age 10-19 (%),330,-0.14**,-0.21***,0.22,583.14,594.54,566.74,586.64
55-59 (%),330,0.16***,0.23***,0.22,580.99,592.39,568.33,588.28
X,330,0.05,0.06,0.15,589.12,600.51,568.9,590.61
10-14 (%),330,-0.22***,-0.26***,0.25,573.89,585.28,569.01,590.39
30-34 (%),330,-0.14**,-0.22***,0.21,582.9,594.3,570.51,591.64
Intermediate (%),330,-0.22***,-0.23***,0.22,574.24,585.64,571.88,590.22
Lower managerial (%),330,-0.17***,-0.14**,0.16,580.57,591.96,573.53,594.87
Higher managerial (%),330,-0.21***,-0.21***,0.22,574.3,585.7,574.3,585.7
Semiroutine (%),330,0.21***,0.21***,0.21,574.48,585.87,574.48,585.88
Bad health (%),330,0.21***,0.22***,0.21,575.39,586.79,574.67,591.65
Severe disability (%),330,0.21***,0.23***,0.22,574.93,586.32,574.72,590.95
Home work (%),330,-0.21***,-0.20***,0.22,575.33,586.73,575.33,586.73
Routine (%),330,0.15**,0.14**,0.17,582.33,593.72,575.58,596.16
Non-UK (%),330,-0.11*,-0.20***,0.19,585.92,597.31,579.07,597.61
UK (%),330,0.11*,0.20***,0.19,585.92,597.31,579.07,597.61
Age 50-59 (%),330,0.11*,0.17***,0.17,585.91,597.31,579.4,599.22
No central heating (%),330,0.17***,0.17***,0.20,579.76,591.15,579.5,594.27
Not deprived (%),330,-0.18***,-0.15**,0.17,579.53,590.93,579.99,594.01
Age 20-29 (%),330,-0.05,-0.14**,0.14,588.92,600.32,580.01,601.73
Residents,330,-0.03,-0.11**,0.18,589.53,600.93,580.35,602.49
15-19 (%),330,-0.04,-0.14**,0.15,589.46,600.86,580.46,600.68
Lower supervisory (%),330,0.17***,0.20***,0.20,580.63,592.02,581,597.98
25-29 (%),330,-0.08,-0.16***,0.16,587.7,599.1,581.84,602.83
rural_pop,330,0.15**,0.15**,0.18,582.49,593.88,582.49,593.89
20-24 (%),330,-0.02,-0.13**,0.12,589.73,601.13,584.34,605.82
Households,330,-0.02,-0.09*,0.18,589.72,601.12,584.76,606.16
Students (%),330,-0.02,-0.15**,0.12,589.77,601.17,584.93,606.25
No qualifications (%),330,0.12**,0.12**,0.13,584.79,596.19,585.16,600.79
Recent migrant (%),330,-0.07,-0.16***,0.15,588.12,599.52,585.24,605.1
Level 4 qual. (%),330,-0.09,-0.08,0.12,587.18,598.57,587.18,598.58
Large households (%),330,0.01,-0.10*,0.11,589.87,601.27,588.01,605.89
Pop density,330,-0.05,-0.21***,0.14,589,600.4,588.13,606.5
Unemployed (%),330,0.04,0.03,0.09,589.26,600.65,589.26,600.66
No car (%),330,0.03,0.02,0.10,589.58,600.98,589.58,600.98
50-54 (%),330,0.02,0.04,0.08,589.77,601.16,589.77,601.19
Female (%),330,-0.02,-0.01,0.09,589.81,601.21,589.81,601.21
Owned (%),330,-0.02,0.00,0.09,589.79,601.18,590.31,605.04
